settlementDate,settlementPeriod,bmUnit,acceptanceNumber,bidPrice,offerPrice
2022-01-01,1,T_CDCL-1,126247,120.0,155.0
2022-01-01,1,T_FOYE-1,154292,0.0,150.0
2022-01-01,1,T_KPMRW-1,20115,-26.58,-21.26
2022-01-01,1,T_CNQPS-4,85797,50.0,159.0
2022-01-01,1,T_MOWEO-2,2568,-63.72,0.0
2022-01-01,1,T_KLGLW-1,32378,-77.55,0.0
2022-01-01,1,T_MIDMW-1,22660,-26.58,-21.26
2022-01-01,1,T_CRDEW-2,2527,-50.0,9999.0
2022-01-01,1,T_CRDEW-1,2533,-50.0,9999.0
2022-01-01,1,T_PEMB-51,82039,150.0,250.0
2022-01-01,1,T_STAY-4,94031,220.0,235.0
2022-01-01,1,T_DIDCB6,159019,175.0,250.0
2022-01-01,1,T_WBURB-1,109695,26.6,152.0
2022-01-01,1,T_CNQPS-4,85795,50.0,159.0
2022-01-01,1,T_CDCL-1,126246,120.0,155.0
2022-01-01,1,T_WBURB-1,109694,26.6,152.0
2022-01-01,1,T_EAAO-2,3213,-58.15,0.0
2022-01-01,1,T_EAAO-1,3200,-58.15,0.0
2022-01-01,1,T_DINO-5,124380,0.0,200.0
2022-01-01,1,T_CRUA-4,106302,0.25,224.0
2022-01-01,1,T_CLDCW-1,48221,-74.69,-10.0
2022-01-01,1,T_CGTHW-1,32397,-70.0,9999.0
2022-01-01,1,T_PNYCW-1,25696,-80.0,15.0
2022-01-01,1,T_KPMRW-1,20114,-26.58,-21.26
2022-01-01,1,T_KLGLW-1,32377,-77.55,0.0
2022-01-01,1,T_DINO-5,124379,0.0,200.0
2022-01-01,1,T_DINO-4,115079,0.0,250.0
2022-01-01,1,T_KLGLW-1,32376,-77.55,0.0
2022-01-01,1,T_EAAO-2,3212,-58.15,0.0
2022-01-01,1,T_EAAO-1,3199,-58.15,0.0
2022-01-01,1,2__PMARB001,21872,-58.95,449.95
2022-01-01,1,T_FASN-2,61686,-17.13,30.0
2022-01-01,1,T_FASN-1,58383,-17.13,30.0
2022-01-01,1,T_CRUA-2,145810,0.5,219.0
2022-01-01,1,T_CRDEW-2,2526,-50.0,9999.0
2022-01-01,1,T_CRDEW-1,2532,-50.0,9999.0
2022-01-01,1,T_MOWEO-2,2567,-63.72,0.0
2022-01-01,1,T_MIDMW-1,22659,-26.58,-21.26
2022-01-01,1,T_KPMRW-1,20113,-26.58,-21.26
2022-01-01,1,T_EAAO-1,3198,-58.15,0.0
2022-01-01,1,T_STAY-4,94030,220.0,235.0
2022-01-01,1,T_DIDCB6,159018,175.0,250.0
2022-01-01,1,T_PEMB-51,82038,150.0,250.0
2022-01-01,1,T_EAAO-2,3211,-58.15,0.0
2022-01-01,1,T_KLGLW-1,32375,-77.55,0.0
2022-01-01,1,T_COWB-1,1834,-19.0,-14.0
2022-01-01,1,T_CNQPS-4,85794,50.0,159.0
2022-01-01,1,T_STAY-4,94029,220.0,235.0
2022-01-01,1,T_PEMB-51,82037,150.0,250.0
2022-01-01,1,T_DRAXX-3,167107,26.5,230.0
2022-01-01,1,T_CNQPS-4,85793,50.0,159.0
2022-01-01,1,T_WBURB-1,109693,26.6,152.0
2022-01-01,1,T_CDCL-1,126243,120.0,155.0
2022-01-01,1,T_DIDCB6,159017,175.0,250.0
2022-01-01,1,T_WBURB-1,109692,26.6,152.0
2022-01-01,1,T_KEAD-1,129452,250.0,465.0
2022-01-01,1,T_CNQPS-4,85791,50.0,159.0
2022-01-01,1,T_CDCL-1,126242,120.0,155.0
2022-01-01,1,T_DRAXX-3,167106,26.5,230.0
2022-01-01,2,T_FOYE-1,154293,1.0,150.0
2022-01-01,2,T_PNYCW-1,25698,-80.0,15.0
2022-01-01,2,T_CDCL-1,126250,120.0,155.0
2022-01-01,2,T_EAAO-1,3202,-58.15,0.0
2022-01-01,2,T_EAAO-2,3215,-58.15,0.0
2022-01-01,2,T_MOWEO-2,2569,-63.72,0.0
2022-01-01,2,T_CDCL-1,126249,120.0,155.0
2022-01-01,2,T_WBURB-1,109696,26.6,152.0
2022-01-01,2,T_CNQPS-4,85800,50.0,159.0
2022-01-01,2,T_DINO-6,141300,0.0,160.0
